,composition,Formation Energy (eV/atom)
417,AcNi2Ge2,-0.614
418,Ac2Ge4Pd4,-0.7938
419,Ac2Ge4Pt2,-0.86416
420,Ac2Ge4Pt4,-0.87528
421,Ac2Ge4Rh2,-0.78422
422,AcGe2Rh2,-0.81561
423,AcGe2Ru2,-0.60044
424,Ac2Tc6Ge4,-0.21565
425,Ac2Zn4Ge4,-0.45813
426,Ac2Hf2Ge6,-0.52623
427,Ac2Nb2Ge6,-0.47944
428,AcNiGe3,-0.57918
429,Ac2Ta2Ge6,-0.42006
430,Ac2Tc2Ge6,-0.33278
431,Ac2Ti2Ge6,-0.59348
432,AcGe4Rh6,-0.69754
433,AcHO,-2.22022
434,Ac4H4O8,-2.65557
435,AcHS,-1.55944
436,AcHSe,-1.50032
437,AcTeH,-1.18948
438,AcH2,-0.67566
439,Ac2H4Pt2,-0.72073
440,AcH3,-0.67029
441,Ac2H6Pd6,-0.46621
442,Ac2H8Ir2,-0.57607
443,Ac2Ni2H8,-0.55903
444,Ac2H8Pd2,-0.56714
445,Ac2H8Rh2,-0.65554
446,AcH6Ir,-0.50105
447,AcH7Rh2,-0.45557
448,Ac2Hf2Pt2,-0.73825
449,AcHg,-0.48194
450,Ac2In2Hg2,-0.54156
451,AcMgTlHg,-0.34461
452,NaAcHgPb,-0.4076
453,NaAcSnHg,-0.42964
454,Ac2Ni2Hg2,-0.40862
455,AcHgPd4,-0.60443
456,AcHgPt4,-0.66195
457,Ac2Hg2Rh2,-0.53082
458,Ac2Si2Hg2,-0.47048
459,AcHgTe2,-0.83554
460,Ac2Tl2Hg2,-0.38778
461,AcHg2,-0.5105
462,Ac2In2Hg4,-0.45538
463,AcMgHg2,-0.41691
464,AcMg5Hg2,-0.23931
465,NaAcHg2,-0.38898
466,Ac2Hg4Pd2,-0.59376
467,Ac2Hg4Rh2,-0.45705
468,AcSnHg2,-0.40365
469,SrAcHg2,-0.52298
470,AcYbHg2,-0.57733
471,Ac2Hg6,-0.4135
472,SrAcHg4,-0.48849
473,AcHg5,-0.26576
474,Ac4Ho4O12,-3.62556
475,AcHoOs,-0.04395
476,Ac2Ho2Te6,-1.4931
477,Ac2Ho4S8,-2.10675
478,Ac2Ho4Se8,-1.89868
479,Ac2Ho6S12,-2.13004
480,Ac2Ho6Se12,-1.91579
481,Ac2In2I2,-0.96965
482,Ac2Ir2I2,-0.99469
483,Ac2Ni2I2,-0.85531
484,Ac2I2O2,-2.78796
485,Ac2I2O8,-1.72667
486,AcIO6,-1.23636
487,Ac2Rh2I2,-1.01571
488,Ac2Tl2I2,-0.75502
489,Ac2Zn2I2,-0.86016
490,Ac2I6,-1.52829
491,Rb6Ac2I12,-1.54345
492,AcIn,-0.43871
493,Ac4In4Ir4,-0.56845
494,Li2AcIn,-0.26639
495,Ac2Mg2In2,-0.35657
496,Ac2In2Ni2,-0.42719
497,Ac4In4O12,-2.64151
498,Ac4In4Pd4,-0.74116
499,Ac2In2Pd4,-0.75495
500,Ac4In4Pt4,-0.89017
501,AcInPt4,-0.7491
502,AcInSn2,-0.364
503,Ac2In4,-0.51543
504,Ac2In4Ir2,-0.49805
505,AcMg4In2,-0.18943
506,AcIn2Pd4,-0.66238
507,Ac2In4Rh2,-0.60049
508,AcZn2In2,-0.36942
509,Ac2In6,-0.41105
510,Ac2In8Ni2,-0.35662
511,Ac2In8Pd2,-0.50812
512,AcIn5Ir,-0.31557
513,AcIn5Pt2,-0.54771
514,AcIn5Rh,-0.37469
515,AcIn6Pd4,-0.54323
516,Ac2Ir2,-0.5062
517,Ac2La2Ir2,-0.46567
518,Ac4Mg4Ir4,-0.52772
519,Ac2Mg4Ir2,-0.39847
520,AcNdIr,-0.48946
521,AcNiIr,-0.43643
522,AcNi2Ir,-0.30827
523,Ac2P2Ir2O2,-1.93032
524,AcPIr,-1.02035
