,composition,Formation Energy (eV/atom)
426,Ac2Hf2Ge6,-0.79993
427,Ac2Nb2Ge6,-0.69266
428,AcNiGe3,-0.66715
429,Ac2Ta2Ge6,-0.63933
430,Ac2Tc2Ge6,-0.55119
431,Ac2Ti2Ge6,-0.77238
432,AcGe4Rh6,-0.80053
433,AcHO,-2.38681
434,Ac4H4O8,-2.93329
435,AcHS,-1.81246
436,AcHSe,-1.73035
437,AcTeH,-1.41464
438,AcH2,-0.76117
439,Ac2H4Pt2,-0.75892
440,AcH3,-0.67726
441,Ac2H6Pd6,-0.43528
442,Ac2H8Ir2,-0.67361
443,Ac2Ni2H8,-0.64054
444,Ac2H8Pd2,-0.61864
445,Ac2H8Rh2,-0.67912
446,AcH6Ir,-0.6016
447,AcH7Rh2,-0.45222
448,Ac2Hf2Pt2,-0.77003
449,AcHg,-0.48298
450,Ac2In2Hg2,-0.48069
451,AcMgTlHg,-0.3907
452,NaAcHgPb,-0.3787
453,NaAcSnHg,-0.46992
454,Ac2Ni2Hg2,-0.4547
455,AcHgPd4,-0.56587
456,AcHgPt4,-0.6127
457,Ac2Hg2Rh2,-0.55701
458,Ac2Si2Hg2,-0.57065
459,AcHgTe2,-1.12968
460,Ac2Tl2Hg2,-0.43841
461,AcHg2,-0.48918
462,Ac2In2Hg4,-0.45461
463,AcMgHg2,-0.46709
464,AcMg5Hg2,-0.22759
465,NaAcHg2,-0.4143
466,Ac2Hg4Pd2,-0.58376
467,Ac2Hg4Rh2,-0.47892
468,AcSnHg2,-0.4954
469,SrAcHg2,-0.53284
470,AcYbHg2,-0.58424
471,Ac2Hg6,-0.4541
472,SrAcHg4,-0.51617
473,AcHg5,-0.31779
474,Ac4Ho4O12,-3.96347
475,AcHoOs,-0.08637
476,Ac2Ho2Te6,-1.73657
477,Ac2Ho4S8,-2.42054
478,Ac2Ho4Se8,-2.21496
479,Ac2Ho6S12,-2.42141
480,Ac2Ho6Se12,-2.20937
481,Ac2In2I2,-1.07618
482,Ac2Ir2I2,-1.09913
483,Ac2Ni2I2,-1.04594
484,Ac2I2O2,-3.13714
485,Ac2I2O8,-2.09754
486,AcIO6,-1.6317
487,Ac2Rh2I2,-1.17235
488,Ac2Tl2I2,-0.96047
489,Ac2Zn2I2,-0.98583
490,Ac2I6,-1.79251
491,Rb6Ac2I12,-1.73014
492,AcIn,-0.44854
493,Ac4In4Ir4,-0.54071
494,Li2AcIn,-0.25968
495,Ac2Mg2In2,-0.35953
