,composition,Formation Energy (eV/atom)
489,Ac2Zn2I2,-0.87418
490,Ac2I6,-1.56925
491,Rb6Ac2I12,-1.53168
492,AcIn,-0.42994
493,Ac4In4Ir4,-0.61389
494,Li2AcIn,-0.26589
495,Ac2Mg2In2,-0.36103
496,Ac2In2Ni2,-0.4296
497,Ac4In4O12,-2.55353
498,Ac4In4Pd4,-0.7564
499,Ac2In2Pd4,-0.76396
500,Ac4In4Pt4,-0.92037
501,AcInPt4,-0.79489
502,AcInSn2,-0.49174
503,Ac2In4,-0.482
504,Ac2In4Ir2,-0.53775
505,AcMg4In2,-0.22493
506,AcIn2Pd4,-0.6853
507,Ac2In4Rh2,-0.61915
508,AcZn2In2,-0.40305
509,Ac2In6,-0.43467
510,Ac2In8Ni2,-0.3787
511,Ac2In8Pd2,-0.51989
512,AcIn5Ir,-0.36593
513,AcIn5Pt2,-0.56175
514,AcIn5Rh,-0.42224
515,AcIn6Pd4,-0.5578
516,Ac2Ir2,-0.58761
517,Ac2La2Ir2,-0.60248
518,Ac4Mg4Ir4,-0.56988
519,Ac2Mg4Ir2,-0.4366
520,AcNdIr,-0.48329
521,AcNiIr,-0.47514
522,AcNi2Ir,-0.36651
523,Ac2P2Ir2O2,-1.9682
524,AcPIr,-1.0462
525,AcIrPt,-0.7932
526,Ac2Ir2Rh2,-0.5784
527,Ac4Si4Ir4,-0.89427
528,Ac2Si4Ir2,-0.85428
529,AcSmIr,-0.49788
530,Ac4Sn4Ir4,-0.70546
531,Ac4Sn8Ir4,-0.62053
532,SrAcIr,-0.34827
533,AcYbIr,-0.55075
534,Ac4Zn4Ir4,-0.55048
535,Ac2Zn4Ir2,-0.46808
536,Ac2Ir4,-0.56655
537,AcMg2Ir2,-0.4865
538,AcMg5Ir2,-0.37843
539,AcNb2Ir2,-0.50389
540,Ac2Pm4Ir4,-0.62056
541,Ac2Sb4Ir4,-0.64654
542,AcSi2Ir2,-0.95643
543,Ac2Sn4Ir4,-0.5945
544,SrAcIr4,-0.43688
545,KAcO2,-2.61525
546,KAcPt4,-0.71817
547,KAcS2,-1.90227
548,K2Ac2Se4,-1.77246
549,KAcTe2,-1.49867
550,AcLaOs,-0.04145
551,AcLaPt4,-1.05782
552,AcLaRh4,-0.64282
553,AcLaRu,-0.13865
554,Ac2La6Se12,-2.03039
555,Li4Ac4Pb4,-0.52607
556,Li2Ac2Pd2,-0.57504
557,Li4Ac4Pd8,-0.65346
558,LiAcPt4,-0.85207
559,Li2Ac2Rh2,-0.49906
560,LiAcSb,-0.88554
561,Li2Ac2Sb4,-0.87501
562,Li4Ac4Si8,-0.53855
563,Li4Ac4Sn4,-0.63832
564,Li4Ac4Tl4,-0.30307
565,LiAcTl2,-0.31787
566,Li4Ac2Pb4,-0.44605
567,Li4Ac2Sn4,-0.55619
568,Li6Ac2Pd4,-0.48791
569,Li4AcPd2,-0.42252
570,Li8Ac2Pt4,-0.61875
571,Ac4Lu4O12,-3.59838
572,Ac2Mg2,-0.07694
573,Ac2Mg2Pb2,-0.4151
574,Ac6Mg6Pd6,-0.6317
575,Ac4Mg4Pt4,-0.87759
576,Ac2Mg2Rh2,-0.5649
577,Ac2Mg2Sn2,-0.52979
578,AcMgTl,-0.26798
579,Ac3Mg3Zn3,-0.22403
580,AcMg12,-0.03708
581,Ac2Mg4,-0.10023
582,Ac2Mg4Ni2,-0.20251
583,Ac2Mg4Pd2,-0.51375
584,AcMg2Pd2,-0.67613
585,Ac2Mg4Pt2,-0.68573
586,AcMg2Pt2,-0.92107
587,Ac2Mg4Rh2,-0.44844
588,AcMg2Si2,-0.41824
589,AcMg2Sn2,-0.46346
590,Ac2Mg4Tl2,-0.21749
591,AcMg2Tl2,-0.2542
592,Ac2Mg6Sb6,-0.62536
593,Ac2Mg8Sn4,-0.34475
594,AcMg4Zn2,-0.16671
595,AcMg5Rh2,-0.39547
596,AcMg6Tl6,-0.13096
597,AcMg8Zn4,-0.13052
598,Ac2Mn2N6,-0.70909
599,Ac2Mn2P2O2,-1.37806
600,Ac4Mn4O12,-2.29091
601,AcMn2O6,-1.55783
602,AcMoN3,-0.83546
603,Ac2Mo2O8,-1.91664
604,AcMo6S8,-0.95917
605,AcN,-1.10915
606,Ac4Sn4N4O4,-1.60189
607,Ac2N2O8,-1.72903
608,AcPa7N12,-1.56528
609,AcN2,-0.79803
610,Ac4P4N8,-1.02363
611,AcPaN2,-1.47775
612,Ac2Ni2N6,-0.47266
613,AcNpN3,-1.24902
614,AcPuN3,-1.14447
615,AcReN3,-0.76487
616,AcUN3,-1.42108
617,AcWN3,-1.00057
618,Ac2Pa4N8,-1.59486
619,Na2Ac2Pb2,-0.37959
620,NaAcPd4,-0.59549
621,NaAcPt4,-0.82205
622,NaAcSi,-0.23644
623,Na2Ac2Si6,-0.32484
624,NaAcSn,-0.38403
625,NaAcTe2,-1.39884
626,NaAcTl2,-0.29412
627,Na3AcPd8,-0.40092
628,Ac2Nb2O8,-2.98883
629,AcNb2O6,-2.88159
630,AcNb2O7,-2.69848
631,Ac2Nd2Si6,-0.64897
632,Ac2Nd2Te6,-1.5124
633,Ac2Nd6S12,-2.10093
634,Ac2Ni2,-0.25863
635,Ac4Ni4O12,-1.56717
636,AcNiP,-1.04424
637,AcNiRh,-0.47159
638,Ac4Si4Ni4,-0.65836
639,Ac2Si4Ni2,-0.69088
640,Ac2Si6Ni2,-0.57766
641,AcZnNi,-0.32214
642,Ac2Zn4Ni2,-0.3396
643,AcNi2,-0.27745
644,Ac2Ni4P4,-0.91988
645,Ac2Ni4Sb4,-0.67194
646,Ac2Si4Ni4,-0.70352
647,Ac2Ni4Sn4,-0.49704
648,Ac2Zn2Ni6,-0.2797
649,AcNi5,-0.21395
650,Ac2Np2O8,-3.25656
651,AcNpO5,-2.99477
652,Ac2Np4Se10,-1.4354
653,Ac2P2Os2O2,-1.886
654,Ac2P2O2,-2.31106
655,Ac2P2Pd2O2,-1.89405
656,Ac2P2Rh2O2,-2.0466
657,Ac2P2Ru2O2,-2.05292
658,Ac2Tc2P2O2,-1.9134
659,Ac2Zn2P2O2,-1.88624
660,Ac2Sb2O2,-2.25721
661,AcPa4O12,-3.48348
662,AcTc4O12,-1.7427
663,RbAcO2,-2.58032
664,Ac4Pd4O12,-1.97485
665,Ac4Rh4O12,-2.13629
666,Ac4Sc4O12,-3.56366
667,Ac4Ti4O12,-3.25955
668,Ac4Tm4O12,-3.57285
669,Ac4V4O12,-2.52969
670,Ac2P2O8,-3.11145
671,AcPaO4,-3.72654
672,Ac2Ru2O8,-2.04241
673,Ac2Sb2O8,-2.37452
674,Ac2Ta2O8,-3.18232
675,Ac2U2O8,-3.39335
676,Ac2V2O8,-2.50857
677,Ac2W2O8,-1.78285
678,Ac2Re2O10,-2.31128
679,AcPt2O6,-1.39797
680,AcRh2O6,-1.52823
681,Ac2Se4O12,-1.60061
682,AcTa2O6,-3.0568
683,AcTa2O7,-2.93211
684,AcS2O8,-1.84467
685,AcPmOs,-0.03055
686,Ac2Si2Os2,-0.5629
687,AcTbOs,-0.06283
688,AcSb12Os4,-0.20386
689,AcP,-1.47737
690,AcPPd,-1.22815
691,AcPPt,-1.30755
692,AcPRh,-1.15627
693,Ac2P2S8,-1.09652
694,AcP2Pd2,-0.94212
695,AcP2Pd5,-0.76804
696,Ac2Pa4S10,-1.81116
697,Ac2Pa4Se10,-1.58749
698,Ac2Pa4Te10,-1.0838
699,Ac4Pd8Pb4,-0.66069
700,AcPt4Pb,-0.69587
701,Ac2Sc2Pb2,-0.44305
702,Ac4Pd4Pb8,-0.54176
703,Ac2Rh2Pb4,-0.46688
704,AcTlPb2,-0.39265
705,AcPb3,-0.4105
706,AcRh4Pb6,-0.25887
707,AcPd,-0.78759
708,AcSbPd,-1.09104
709,AcSiPd,-0.86837
710,AcSnPd,-0.85583
711,Ac2Sn4Pd2,-0.78617
712,AcZnPd,-0.67645
713,Ac2Zn4Pd2,-0.55285
714,Ac2Sb4Pd4,-0.89847
715,AcSi2Pd2,-0.87061
716,AcSnPd2,-0.81928
