,composition,Formation Energy (eV/atom)
527,Ac4Si4Ir4,-0.8997
528,Ac2Si4Ir2,-0.85347
529,AcSmIr,-0.49464
530,Ac4Sn4Ir4,-0.6999
531,Ac4Sn8Ir4,-0.61718
532,SrAcIr,-0.34829
533,AcYbIr,-0.58802
534,Ac4Zn4Ir4,-0.54669
535,Ac2Zn4Ir2,-0.46408
536,Ac2Ir4,-0.56483
537,AcMg2Ir2,-0.47163
538,AcMg5Ir2,-0.38446
539,AcNb2Ir2,-0.50562
540,Ac2Pm4Ir4,-0.6117
541,Ac2Sb4Ir4,-0.6399
542,AcSi2Ir2,-0.95119
543,Ac2Sn4Ir4,-0.59256
544,SrAcIr4,-0.42545
545,KAcO2,-2.62873
546,KAcPt4,-0.71726
547,KAcS2,-1.9004
548,K2Ac2Se4,-1.77189
549,KAcTe2,-1.49874
550,AcLaOs,-0.04862
551,AcLaPt4,-1.05535
552,AcLaRh4,-0.64637
553,AcLaRu,-0.14104
554,Ac2La6Se12,-2.03271
555,Li4Ac4Pb4,-0.53282
556,Li2Ac2Pd2,-0.56839
557,Li4Ac4Pd8,-0.64831
558,LiAcPt4,-0.85287
559,Li2Ac2Rh2,-0.49808
560,LiAcSb,-0.89071
561,Li2Ac2Sb4,-0.87987
562,Li4Ac4Si8,-0.53621
563,Li4Ac4Sn4,-0.64484
564,Li4Ac4Tl4,-0.31135
565,LiAcTl2,-0.32409
566,Li4Ac2Pb4,-0.45241
567,Li4Ac2Sn4,-0.56321
568,Li6Ac2Pd4,-0.49482
569,Li4AcPd2,-0.4277
570,Li8Ac2Pt4,-0.63053
571,Ac4Lu4O12,-3.61982
572,Ac2Mg2,-0.08407
573,Ac2Mg2Pb2,-0.41397
574,Ac6Mg6Pd6,-0.64052
575,Ac4Mg4Pt4,-0.88389
576,Ac2Mg2Rh2,-0.57003
577,Ac2Mg2Sn2,-0.53339
578,AcMgTl,-0.27786
579,Ac3Mg3Zn3,-0.22696
580,AcMg12,-0.05113
581,Ac2Mg4,-0.10576
582,Ac2Mg4Ni2,-0.20345
583,Ac2Mg4Pd2,-0.51892
584,AcMg2Pd2,-0.68483
585,Ac2Mg4Pt2,-0.6903
586,AcMg2Pt2,-0.92755
587,Ac2Mg4Rh2,-0.45528
588,AcMg2Si2,-0.42127
589,AcMg2Sn2,-0.4627
590,Ac2Mg4Tl2,-0.21511
591,AcMg2Tl2,-0.2598
592,Ac2Mg6Sb6,-0.62567
593,Ac2Mg8Sn4,-0.34448
594,AcMg4Zn2,-0.17536
595,AcMg5Rh2,-0.40679
596,AcMg6Tl6,-0.13926
597,AcMg8Zn4,-0.1376
598,Ac2Mn2N6,-0.69335
599,Ac2Mn2P2O2,-1.37933
600,Ac4Mn4O12,-2.30712
601,AcMn2O6,-1.5854
602,AcMoN3,-0.84372
603,Ac2Mo2O8,-1.92568
