,composition,Formation Energy (eV/atom)
609,AcN2,-0.96068
610,Ac4P4N8,-0.98525
611,AcPaN2,-1.35369
612,Ac2Ni2N6,-0.44275
613,AcNpN3,-1.24295
614,AcPuN3,-1.171
615,AcReN3,-0.73403
616,AcUN3,-1.44997
617,AcWN3,-0.92526
618,Ac2Pa4N8,-1.56738
619,Na2Ac2Pb2,-0.36749
620,NaAcPd4,-0.6281
621,NaAcPt4,-0.86648
622,NaAcSi,-0.19388
623,Na2Ac2Si6,-0.27423
624,NaAcSn,-0.36748
625,NaAcTe2,-1.41394
626,NaAcTl2,-0.29135
627,Na3AcPd8,-0.41914
628,Ac2Nb2O8,-2.99408
629,AcNb2O6,-2.86919
630,AcNb2O7,-2.70454
631,Ac2Nd2Si6,-0.58174
632,Ac2Nd2Te6,-1.52303
633,Ac2Nd6S12,-2.09894
634,Ac2Ni2,-0.30376
635,Ac4Ni4O12,-1.61586
636,AcNiP,-0.97012
637,AcNiRh,-0.47058
638,Ac4Si4Ni4,-0.60207
639,Ac2Si4Ni2,-0.61042
640,Ac2Si6Ni2,-0.50749
641,AcZnNi,-0.3549
642,Ac2Zn4Ni2,-0.34264
643,AcNi2,-0.33767
644,Ac2Ni4P4,-0.8995
645,Ac2Ni4Sb4,-0.64844
646,Ac2Si4Ni4,-0.6509
647,Ac2Ni4Sn4,-0.48182
648,Ac2Zn2Ni6,-0.29262
649,AcNi5,-0.267
650,Ac2Np2O8,-3.24845
651,AcNpO5,-2.98716
652,Ac2Np4Se10,-1.43495
653,Ac2P2Os2O2,-1.88425
654,Ac2P2O2,-2.30062
655,Ac2P2Pd2O2,-1.8846
656,Ac2P2Rh2O2,-2.01537
657,Ac2P2Ru2O2,-2.03769
658,Ac2Tc2P2O2,-1.86137
659,Ac2Zn2P2O2,-1.89407
660,Ac2Sb2O2,-2.2065
661,AcPa4O12,-3.5056
662,AcTc4O12,-1.75409
663,RbAcO2,-2.56009
664,Ac4Pd4O12,-1.9914
665,Ac4Rh4O12,-2.1705
666,Ac4Sc4O12,-3.58448
667,Ac4Ti4O12,-3.30128
668,Ac4Tm4O12,-3.57307
669,Ac4V4O12,-2.5484
670,Ac2P2O8,-3.12163
671,AcPaO4,-3.72943
672,Ac2Ru2O8,-2.0757
673,Ac2Sb2O8,-2.39768
674,Ac2Ta2O8,-3.19416
675,Ac2U2O8,-3.42138
676,Ac2V2O8,-2.51389
677,Ac2W2O8,-1.79201
678,Ac2Re2O10,-2.33089
679,AcPt2O6,-1.46439
680,AcRh2O6,-1.54213
681,Ac2Se4O12,-1.65043
682,AcTa2O6,-3.0506
683,AcTa2O7,-2.95339
684,AcS2O8,-1.91777
685,AcPmOs,-0.03253
686,Ac2Si2Os2,-0.5665
687,AcTbOs,-0.06382
688,AcSb12Os4,-0.20495
689,AcP,-1.32809
690,AcPPd,-1.15865
691,AcPPt,-1.26381
692,AcPRh,-1.14013
693,Ac2P2S8,-1.11111
694,AcP2Pd2,-0.92871
695,AcP2Pd5,-0.7804
696,Ac2Pa4S10,-1.87594
697,Ac2Pa4Se10,-1.65386
698,Ac2Pa4Te10,-1.16577
699,Ac4Pd8Pb4,-0.66094
700,AcPt4Pb,-0.71691
701,Ac2Sc2Pb2,-0.47663
702,Ac4Pd4Pb8,-0.49342
703,Ac2Rh2Pb4,-0.46239
704,AcTlPb2,-0.40017
705,AcPb3,-0.41552
706,AcRh4Pb6,-0.1956
707,AcPd,-0.70197
708,AcSbPd,-1.10605
709,AcSiPd,-0.79936
710,AcSnPd,-0.85984
711,Ac2Sn4Pd2,-0.77532
712,AcZnPd,-0.65353
713,Ac2Zn4Pd2,-0.54751
714,Ac2Sb4Pd4,-0.89833
715,AcSi2Pd2,-0.85063
716,AcSnPd2,-0.82638
717,AcSn2Pd2,-0.78448
718,SrAcPd2,-0.70695
719,AcTe2Pd2,-0.90185
720,Ac4Zn4Pd8,-0.73893
721,AcPd3,-0.73556
722,Ac2Si2Pd6,-0.83747
723,AcTlPd4,-0.57998
724,AcPd5,-0.62146
725,AcPmRu,-0.12114
726,Ac2Pm2Si6,-0.57883
727,AcPmSi4,-0.52406
728,Ac2Pm6S12,-2.10947
729,Ac2Pm6Se12,-1.94394
730,Ac2Pm6Te12,-1.493
731,AcPrRu,-0.10532
732,Ac2Pr2Si6,-0.57505
733,AcPt,-1.01963
734,AcPtRh,-0.73959
735,Ac2Sb2Pt2,-1.16328
736,AcSiPt,-0.99335
737,AcSi2Pt,-0.72019
738,AcSnPt,-0.97481
739,Ac4Sn8Pt4,-0.81469
740,AcYbPt,-0.81769
741,AcZnPt,-0.84301
742,AcPt2,-1.05992
743,Ac2Sb4Pt4,-0.89528
744,Ac2Si4Pt4,-0.9588
745,Ac2Sn4Pt4,-0.89117
746,AcYbPt2,-1.06427
747,AcZn2Pt2,-0.85876
748,SrAcPt4,-0.9945
749,AcTlPt4,-0.72475
750,AcPt5,-0.78185
751,AcSi2Pt5,-0.90717
752,Ac2Pu2Si2,-0.29275
753,AcPuTe2,-1.33361
754,RbAcS2,-1.88998
755,RbAcSe2,-1.83273
756,RbAcTe2,-1.49326
757,Ac2Rh2,-0.634
758,AcSbRh,-0.99036
759,Ac4Si4Rh4,-0.85213
760,AcSi3Rh,-0.66194
761,Ac4Sn4Rh4,-0.79714
762,Ac4Sn8Rh4,-0.73803
763,Sr2Ac2Rh2,-0.34063
764,AcTeRh,-1.10442
765,Ac2Tl4Rh2,-0.37622
766,AcYbRh,-0.45242
767,Ac4Zn4Rh4,-0.61441
768,Ac2Zn4Rh2,-0.52094
769,Ac2Rh4,-0.6907
770,Ac2Sb4Rh4,-0.87293
771,Ac2Si4Rh4,-0.94194
772,Ac2Zn4Rh4,-0.54263
773,Ac3Rh9,-0.54764
774,SrAcRh4,-0.51522
775,AcSi2Rh5,-0.78903
776,AcSn4Rh6,-0.57304
777,Ac2Si2Ru2,-0.68918
778,AcSb12Ru4,-0.37969
779,AcS,-1.94609
