,composition,Formation Energy (eV/atom)
692,AcPRh,-1.18117
693,Ac2P2S8,-1.07945
694,AcP2Pd2,-0.94192
695,AcP2Pd5,-0.78351
696,Ac2Pa4S10,-1.87512
697,Ac2Pa4Se10,-1.6102
698,Ac2Pa4Te10,-1.11455
699,Ac4Pd8Pb4,-0.66494
700,AcPt4Pb,-0.75976
701,Ac2Sc2Pb2,-0.4547
702,Ac4Pd4Pb8,-0.53605
703,Ac2Rh2Pb4,-0.48935
704,AcTlPb2,-0.38318
705,AcPb3,-0.38538
706,AcRh4Pb6,-0.23213
707,AcPd,-0.73767
708,AcSbPd,-1.06671
709,AcSiPd,-0.80247
710,AcSnPd,-0.80002
711,Ac2Sn4Pd2,-0.72374
712,AcZnPd,-0.67556
713,Ac2Zn4Pd2,-0.54072
714,Ac2Sb4Pd4,-0.87054
715,AcSi2Pd2,-0.87869
716,AcSnPd2,-0.87371
717,AcSn2Pd2,-0.71334
718,SrAcPd2,-0.74303
719,AcTe2Pd2,-0.7293
720,Ac4Zn4Pd8,-0.72167
721,AcPd3,-0.72952
722,Ac2Si2Pd6,-0.83707
723,AcTlPd4,-0.58503
724,AcPd5,-0.56203
725,AcPmRu,-0.15901
726,Ac2Pm2Si6,-0.63354
727,AcPmSi4,-0.54534
728,Ac2Pm6S12,-2.11802
729,Ac2Pm6Se12,-1.93777
730,Ac2Pm6Te12,-1.49396
731,AcPrRu,-0.13262
732,Ac2Pr2Si6,-0.63331
733,AcPt,-1.10275
734,AcPtRh,-0.76343
735,Ac2Sb2Pt2,-1.16663
736,AcSiPt,-1.06451
737,AcSi2Pt,-0.91291
738,AcSnPt,-0.96579
739,Ac4Sn8Pt4,-0.79752
740,AcYbPt,-0.91888
741,AcZnPt,-0.84826
742,AcPt2,-0.99142
743,Ac2Sb4Pt4,-0.88574
744,Ac2Si4Pt4,-1.00185
745,Ac2Sn4Pt4,-0.86963
746,AcYbPt2,-1.07746
747,AcZn2Pt2,-0.83409
748,SrAcPt4,-0.93205
749,AcTlPt4,-0.74034
750,AcPt5,-0.72764
751,AcSi2Pt5,-0.94421
752,Ac2Pu2Si2,0.0497
753,AcPuTe2,-1.31636
754,RbAcS2,-1.8851
755,RbAcSe2,-1.80923
756,RbAcTe2,-1.50456
757,Ac2Rh2,-0.60176
758,AcSbRh,-0.89848
759,Ac4Si4Rh4,-0.85477
760,AcSi3Rh,-0.69923
761,Ac4Sn4Rh4,-0.73803
762,Ac4Sn8Rh4,-0.69207
763,Sr2Ac2Rh2,-0.38482
764,AcTeRh,-1.04208
765,Ac2Tl4Rh2,-0.3999
766,AcYbRh,-0.51574
767,Ac4Zn4Rh4,-0.57451
768,Ac2Zn4Rh2,-0.51024
769,Ac2Rh4,-0.52303
770,Ac2Sb4Rh4,-0.84761
771,Ac2Si4Rh4,-0.96119
772,Ac2Zn4Rh4,-0.5055
