,composition,Formation Energy (eV/atom)
524,AcPIr,-1.0423
525,AcIrPt,-0.79867
526,Ac2Ir2Rh2,-0.56995
527,Ac4Si4Ir4,-0.89504
528,Ac2Si4Ir2,-0.84647
529,AcSmIr,-0.49455
530,Ac4Sn4Ir4,-0.69996
531,Ac4Sn8Ir4,-0.62337
532,SrAcIr,-0.35781
533,AcYbIr,-0.5391
534,Ac4Zn4Ir4,-0.54339
535,Ac2Zn4Ir2,-0.4572
536,Ac2Ir4,-0.56019
537,AcMg2Ir2,-0.47385
538,AcMg5Ir2,-0.37719
539,AcNb2Ir2,-0.50771
540,Ac2Pm4Ir4,-0.61569
541,Ac2Sb4Ir4,-0.63765
542,AcSi2Ir2,-0.94017
543,Ac2Sn4Ir4,-0.58874
544,SrAcIr4,-0.42223
545,KAcO2,-2.60281
546,KAcPt4,-0.71187
547,KAcS2,-1.89889
548,K2Ac2Se4,-1.77052
549,KAcTe2,-1.49388
550,AcLaOs,-0.04735
551,AcLaPt4,-1.0538
552,AcLaRh4,-0.63818
553,AcLaRu,-0.1366
554,Ac2La6Se12,-2.03132
555,Li4Ac4Pb4,-0.53736
556,Li2Ac2Pd2,-0.56265
557,Li4Ac4Pd8,-0.64732
558,LiAcPt4,-0.84761
559,Li2Ac2Rh2,-0.49261
560,LiAcSb,-0.88056
561,Li2Ac2Sb4,-0.8762
562,Li4Ac4Si8,-0.53597
563,Li4Ac4Sn4,-0.6448
564,Li4Ac4Tl4,-0.29846
565,LiAcTl2,-0.31443
566,Li4Ac2Pb4,-0.45125
567,Li4Ac2Sn4,-0.55888
568,Li6Ac2Pd4,-0.48835
569,Li4AcPd2,-0.4217
570,Li8Ac2Pt4,-0.62038
571,Ac4Lu4O12,-3.5908
572,Ac2Mg2,-0.0712
573,Ac2Mg2Pb2,-0.42469
574,Ac6Mg6Pd6,-0.62716
575,Ac4Mg4Pt4,-0.87275
576,Ac2Mg2Rh2,-0.55591
577,Ac2Mg2Sn2,-0.53085
578,AcMgTl,-0.25872
579,Ac3Mg3Zn3,-0.21972
580,AcMg12,-0.03655
581,Ac2Mg4,-0.10431
582,Ac2Mg4Ni2,-0.19823
583,Ac2Mg4Pd2,-0.51016
584,AcMg2Pd2,-0.67444
585,Ac2Mg4Pt2,-0.68489
586,AcMg2Pt2,-0.92512
587,Ac2Mg4Rh2,-0.43955
588,AcMg2Si2,-0.42189
589,AcMg2Sn2,-0.4664
590,Ac2Mg4Tl2,-0.21091
