,composition,type,cell,positions,numbers,energy (eV/atom),formation energy (eV/atom),hull distance (eV/atom)
32955,Mo2CuSb,full,"[[2.7339315, 2.7339315, -0.0], [-2.7339315, 2.7339315, -0.0], [-0.0, -0.0, 8.63430912]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000001], [0.5, 0.0, 0.7500000000000001], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[42, 42, 42, 42, 29, 29, 51, 51]",-7.05612750625,0.377392565,0.3845708167857142
33335,Mo2RuAl,full,"[[2.59733454, 2.59733454, -0.0], [-2.59733454, 2.59733454, -0.0], [-0.0, -0.0, 8.82218211]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.4999999999999999]]","[42, 42, 42, 42, 44, 44, 13, 13]",-8.86211673,-0.1585519162499995,0.1728295137500004
34221,Ru2ScAl,full,"[[0.0, 3.11022593, 3.11022593], [3.11022593, -0.0, 3.11022593], [3.11022593, 3.11022593, -0.0]]","[[0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]","[44, 44, 21, 13]",-7.65409471,-0.5410357225000002,0.0573258562499998
34360,Ru2VSn,inverse,"[[2.67960816, 2.67960816, 0.0], [-2.67960816, 2.67960816, -0.0], [0.0, -0.0, 8.50923249]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[44, 44, 44, 44, 23, 23, 50, 50]",-7.83349544,-0.0162062087499998,0.2065861509985148
34521,RuMnSb,half,"[[3.03962289, 3.03962289, 0.0], [-3.03962289, 3.03962289, 0.0], [0.0, 0.0, 6.1045807]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[44, 44, 25, 25, 51, 51]",-7.408792183333333,0.0010720633333332,0.1423979995881224
37279,RhCdPb,half,"[[3.25014766, 3.25014766, -0.0], [-3.25014766, 3.25014766, -0.0], [0.0, 0.0, 6.47951169]]","[[0.49999999999999983, 2.7755575615628904e-17, 0.25], [0.9999999999999998, 0.49999999999999983, 0.7500000000000002], [0.0, 0.0, 0.5], [0.4999999999999998, 0.49999999999999983, 0.0], [0.0, 0.0, 0.0], [0.4999999999999998, 0.49999999999999983, 0.5]]","[45, 45, 48, 48, 82, 82]",-3.8652918333333335,-0.0014314750000004,0.1231518406153847
38163,PdMnAs,half,"[[2.99352684, 2.99352684, 0.0], [-2.99352684, 2.99352684, 0.0], [-0.0, -0.0, 5.988847]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[46, 46, 25, 25, 33, 33]",-6.489113691666667,-0.2412742666666668,0.0741209429310334
38511,PdCuBi,half,"[[-0.0, 3.15088448, 3.15088448], [3.15088448, 0.0, 3.15088448], [3.15088448, 3.15088448, -0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]","[46, 29, 83]",-4.312658553333333,-0.0317888349999992,0.1851424966666671
39724,PdAuTl,half,"[[3.25653323, 3.25653323, 0.0], [-3.25653323, 3.25653323, 0.0], [-0.0, 0.0, 6.34209843]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[46, 46, 79, 79, 81, 81]",-3.569295538333334,-0.0201699108333327,0.1327761341666667
39738,Ag2ScSi,full,"[[2.85642646, 2.85642646, -0.0], [-2.85642646, 2.85642646, -0.0], [0.0, 0.0, 8.85259201]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[47, 47, 47, 47, 21, 21, 14, 14]",-4.47453070625,-0.1976219837500004,0.2212993625000001
