composition,cell,positions,numbers,material_id,MP Formation energy (eV/atom),MP Hull distance (eV/atom),natoms,spacegroup
Pd,"[[2.39884671, 0.0, 1.38497573], [0.79961557, 2.26165593, 1.38497573], [1e-08, 0.0, 2.76995044]]","[[0.0, 0.0, 0.0]]",[46],mp-2,0.0,0.0,1,Fm-3m
BiPd,"[[4.28038814, 0.0, 0.0], [-2.14019407, 3.707914579999999, 0.0], [0.0, -0.0, 5.69779915]]","[[0.33327465, 0.6665483, 0.25], [0.66672535, 0.333451699999999, 0.75], [0.0, 0.0, 0.5], [0.0, -0.0, 0.0]]","[83, 83, 46, 46]",mp-1008488,-0.32083158249999943,0.0,4,P6_3/mmc
CuPd3,"[[-1.90531911, 1.90531911, 3.91217965], [1.90531911, -1.90531911, 3.91217965], [1.90531911, 1.90531911, -3.91217965]]","[[0.0, 0.0, 0.0], [0.750002, 0.250001, 0.500002], [0.250001, 0.750002, 0.500002], [0.5, 0.5, 0.0]]","[29, 46, 46, 46]",mp-1184119,-0.06606683249999978,0.0,4,I4/mmm
CuPd,"[[2.98041717, -0.0, 0.0], [-0.0, 2.98041717, -0.0], [0.0, -0.0, 2.98041717]]","[[0.0, -0.0, 0.0], [0.5, 0.5, 0.5]]","[29, 46]",mp-1018029,-0.12332372000000014,0.0,2,Pm-3m
Cu3Pd,"[[3.666153699999999, 0.0, 0.0], [0.0, 3.6748162300000002, 0.0], [0.0, 0.0, 3.6748162300000002]]","[[0.0, 0.5, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.5], [0.0, -0.0, -0.0]]","[29, 29, 29, 46]",mp-580357,-0.10492772250000026,0.0,4,Pm-3m
BiPd3,"[[5.04773216, 0.0, 3.915e-05], [0.0, 5.80359109, 0.0], [7.328e-05, 0.0, 9.46706484]]","[[0.15107024, 0.5, 0.25000431], [0.84892976, 0.5, 0.74999569], [0.5, -0.0, 0.500001], [0.5, -0.0, 0.999999], [0.66281481, 0.25052334, 0.25002646], [0.66281481, 0.74947666, 0.25002646], [0.33718419, 0.25052434, 0.74997354], [0.33718419, 0.74947566, 0.74997354], [0.5, 0.5, 1e-06], [0.5, 0.5, 0.499998999999999], [0.85047278, -0.0, 0.74997938], [0.14952822, -0.0, 0.25002062], [-0.0, 0.74925778, 0.0], [-0.0, 0.25072392, 0.5], [-0.0, 0.25074222, 0.0], [-0.0, 0.74927608, 0.5]]","[83, 83, 83, 83, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46]",mp-30463,-0.26151194937499955,0.0,16,Pmma
Bi2Pd,"[[4.06510244, -0.00608722, -1.3566242], [-0.41927254, 5.60370245, -1.23379974], [-0.00298933, -0.08421602, 6.76856945]]","[[0.8383601900000001, 0.68382741, 0.67805667], [0.16163981, 0.31617259000000003, 0.32194333], [0.4303222, 0.20546736000000002, 0.8570005900000001], [0.5696778, 0.79453264, 0.14299941], [0.77906626, 0.17012934, 0.55573887], [0.22093374000000002, 0.82987066, 0.44426113]]","[83, 83, 83, 83, 46, 46]",mp-568746,-0.23968416166666687,0.0,6,P-1
Bi,"[[4.05447423, 0.04907069, 2.6937985600000003], [1.46972441, 3.77903119, 2.69379855], [0.07081258, 0.049070670000000004, 4.86726661]]","[[0.23200202, 0.23200202, 0.23200202], [0.76799798, 0.76799798, 0.76799798]]","[83, 83]",mp-23152,0.0,0.0,2,R-3m
Re,"[[2.7653358200000002, -0.0, -0.0], [-1.3826679100000001, 2.39485236, 0.0], [-0.0, 0.0, 4.47357663]]","[[0.333333, 0.666667, 0.25], [0.666667, 0.333333, 0.75]]","[75, 75]",mp-8,0.0,0.0,2,P6_3/mmc
CoRe3,"[[5.38915222, 7.53e-06, 4e-08], [-2.69456996, 4.66714144, 5.2e-07], [3.0000000000000004e-08, 5e-07, 4.33991529]]","[[0.33335002, 0.6666762900000001, 0.74999881], [0.66664838, 0.33332286, 0.24999876000000001], [0.16682687000000002, 0.33364393000000003, 0.24999849000000002], [0.66635033, 0.8331754, 0.24999873], [0.1668247, 0.8331820400000001, 0.24999915], [0.83316483, 0.66633231, 0.74999861], [0.33366888, 0.16683293, 0.7499982900000001], [0.83316399, 0.16683323, 0.74999815]]","[27, 27, 75, 75, 75, 75, 75, 75]",mp-865960,-0.06732023250000019,0.0,8,P6_3/mmc
Co,"[[2.47199984, 1e-08, -0.0], [-1.23599941, 2.1408151, -0.0], [0.0, -0.0, 4.02114408]]","[[0.333333, 0.666667, 0.25], [0.666667, 0.333333, 0.75]]","[27, 27]",mp-54,0.0,0.0,2,P6_3/mmc
As2Ru,"[[3.00114582, 0.0, 0.0], [0.0, 5.43556299, 0.0], [0.0, 0.0, 6.20594752]]","[[0.5, 0.32922482000000003, 0.86634677], [0.5, 0.67077518, 0.13365323], [0.0, 0.17077518, 0.36634677], [-0.0, 0.82922482, 0.6336532300000001], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]","[33, 33, 33, 33, 44, 44]",mp-766,-0.397124525,0.0,6,Pnnm
Fe,"[[2.33614509, 0.00011167, -0.8258229300000001], [-1.16807798, 2.02304724, -0.8260822], [1.17007387, 2.027305, 3.31032796]]","[[0.50000002, 0.50000008, 0.49999999], [0.99999998, 0.99999992, 1e-08]]","[26, 26]",mp-13,0.0,0.0,2,Im-3m
FeAs2,"[[2.87388077, 0.0, 0.0], [0.0, 5.24609782, 0.0], [0.0, -0.0, 5.9602176700000005]]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [-0.0, 0.17883368, 0.36276647], [-0.0, 0.82116632, 0.63723353], [0.5, 0.67883368, 0.13723353], [0.5, 0.32116632, 0.8627664700000001]]","[26, 26, 33, 33, 33, 33]",mp-2008,-0.26411969333333357,0.0,6,Pnnm
As,"[[3.42767338, 0.05697669, 2.58253234], [1.31942833, 3.16406436, 2.58253239], [0.08396921, 0.056976650000000004, 4.29084586]]","[[0.22443359000000002, 0.22443359000000002, 0.22443359000000002], [0.77556641, 0.77556641, 0.77556641]]","[33, 33]",mp-11,0.0,0.0,2,R-3m
FeAs,"[[3.39399216, 0.0, 0.0], [0.0, 5.57941526, -0.00311488], [0.0, -0.00338726, 6.02361964]]","[[0.75, -0.00863756, 0.81187866], [0.25, 0.00863505, 0.18812421000000001], [0.75, 0.49232663, 0.68814713], [0.25, 0.50766827, 0.31184525], [0.75, 0.80628583, 0.41969375000000003], [0.25, 0.19373664000000002, 0.5802947900000001], [0.75, 0.3063172, 0.07975997], [0.25, 0.6936669400000001, 0.92025526]]","[26, 26, 26, 26, 33, 33, 33, 33]",mp-427,-0.20320926499999992,0.0,8,P2_1/m
Ru,"[[2.70782643, -0.0, 0.0], [-1.35391321, 2.34504628, 0.0], [-0.0, 0.0, 4.26810178]]","[[0.333333, 0.666667, 0.25], [0.666667, 0.333333, 0.75]]","[44, 44]",mp-33,0.0,0.0,2,P6_3/mmc
Cd,"[[0.0, 2.21814975, 2.21814975], [2.21814975, 0.0, 2.21814975], [2.21814975, 2.21814975, -0.0]]","[[-0.0, -0.0, -0.0]]",[48],mp-1096861,0.0,0.0,1,Fm-3m
Au,"[[2.554382, 0.0, 1.474773], [0.851460999999999, 2.408295, 1.474773], [0.0, 0.0, 2.949546]]","[[0.0, 0.0, 0.0]]",[79],mp-81,0.0,0.0,1,Fm-3m
