composition,cell,positions,numbers,entry_id,calculation_id,OQMD Formation energy (eV/atom),OQMD Hull distance (eV/atom),natoms,spacegroup
Sc11Ru4,"[[0.0, 6.649932063, 6.649932063], [6.649932063, 0.0, 6.649932063], [6.649932063, 6.649932063, 0.0]]","[[0.0, 0.0, 0.0], [0.5, 0.0, 0.0], [0.0, 0.5, 0.0], [0.5, 0.5, 0.0], [0.0, 0.0, 0.5], [0.5, 0.0, 0.5], [0.0, 0.5, 0.5], [0.5, 0.5, 0.5], [0.617, 0.617, 0.15], [0.156, 0.156, 0.156], [0.531, 0.156, 0.156], [0.156, 0.531, 0.156], [0.199, 0.801, 0.199], [0.801, 0.801, 0.199], [0.801, 0.199, 0.199], [0.383, 0.383, 0.383], [0.85, 0.383, 0.383], [0.383, 0.85, 0.383], [0.844, 0.844, 0.469], [0.156, 0.156, 0.531], [0.617, 0.15, 0.617], [0.15, 0.617, 0.617], [0.617, 0.617, 0.617], [0.199, 0.199, 0.801], [0.801, 0.199, 0.801], [0.199, 0.801, 0.801], [0.844, 0.469, 0.844], [0.469, 0.844, 0.844], [0.844, 0.844, 0.844], [0.383, 0.383, 0.85]]","[44, 44, 44, 44, 44, 44, 44, 44, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21]",2053170,5182825,-0.40182171266666555,0.0,30,Fm-3m
Sc3AlRu2,"[[3.279314118, 0.0, 0.0], [0.0, 3.279314118, 0.0], [0.0, 0.0, 9.790332779]]","[[0.5, 0.5, 0.5], [0.5, 0.5, 0.166], [0.5, 0.5, 0.834], [0.0, 0.0, 0.0], [0.0, 0.0, 0.314], [0.0, 0.0, 0.686]]","[13, 44, 44, 21, 21, 21]",2145614,5635288,-0.5867335108333336,0.0,6,P4/mmm
Sc4Al7Ru,"[[5.356606194, 0.0, 0.0], [-2.678303097, 4.638957042, 0.0], [0.0, 0.0, 8.565112244]]","[[0.338, 0.169, 0.24], [0.831, 0.169, 0.24], [0.831, 0.662, 0.24], [0.0, 0.0, 0.5], [0.169, 0.338, 0.76], [0.169, 0.831, 0.76], [0.662, 0.831, 0.76], [0.0, 0.0, 0.0], [0.333, 0.667, 0.0644], [0.333, 0.667, 0.444], [0.667, 0.333, 0.556], [0.667, 0.333, 0.936]]","[13, 13, 13, 13, 13, 13, 13, 44, 21, 21, 21, 21]",2151036,5648005,-0.5797215550000002,0.0,12,P-3m1
FeRh3,"[[3.801873, 0.0, 0.0], [0.0, 3.801873, 0.0], [0.0, 0.0, 3.801873]]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.0], [0.5, 0.0, 0.5], [0.0, 0.5, 0.5]]","[26, 45, 45, 45]",347421,1255393,-0.0515079700000003,0.0,4,Pm-3m
Bi2Rh,"[[6.970853, 0.0, 0.004286], [0.0, 6.900051, 0.0], [-3.255085, 0.0, 6.24732]]","[[0.852, 0.141, 0.128], [0.345, 0.356, 0.172], [0.655, 0.856, 0.328], [0.148, 0.641, 0.372], [0.852, 0.359, 0.628], [0.345, 0.144, 0.672], [0.655, 0.644, 0.828], [0.148, 0.859, 0.872], [0.728, 0.498, 0.213], [0.272, 0.998, 0.287], [0.728, 0.00203, 0.713], [0.272, 0.502, 0.787]]","[83, 83, 83, 83, 83, 83, 83, 83, 45, 45, 45, 45]",661147,1284626,-0.205055578333334,0.0,12,P21/c
Bi4Rh,"[[7.519818, -7.519818, 7.519818], [7.519818, 7.519818, -7.519818], [-7.519818, 7.519818, 7.519818]]","[[0.215, 0.127, 0.0372], [0.323, 0.91, 0.0372], [0.873, 0.41, 0.0879], [0.715, 0.677, 0.0879], [0.627, 0.412, 0.0896], [0.963, 0.677, 0.0896], [0.0372, 0.215, 0.127], [0.59, 0.912, 0.127], [0.215, 0.588, 0.177], [0.463, 0.59, 0.177], [0.588, 0.177, 0.215], [0.127, 0.0372, 0.215], [0.463, 0.373, 0.285], [0.323, 0.912, 0.285], [0.912, 0.285, 0.323], [0.91, 0.0372, 0.323], [0.285, 0.463, 0.373], [0.588, 0.91, 0.373], [0.823, 0.537, 0.41], [0.0879, 0.873, 0.41], [0.0896, 0.627, 0.412], [0.823, 0.785, 0.412], [0.373, 0.285, 0.463], [0.59, 0.177, 0.463], [0.41, 0.823, 0.537], [0.627, 0.715, 0.537], [0.177, 0.215, 0.588], [0.91, 0.373, 0.588], [0.912, 0.127, 0.59], [0.177, 0.463, 0.59], [0.412, 0.0896, 0.627], [0.715, 0.537, 0.627], [0.0879, 0.715, 0.677], [0.0896, 0.963, 0.677], [0.677, 0.0879, 0.715], [0.537, 0.627, 0.715], [0.873, 0.963, 0.785], [0.412, 0.823, 0.785], [0.537, 0.41, 0.823], [0.785, 0.412, 0.823], [0.963, 0.785, 0.873], [0.41, 0.0879, 0.873], [0.0372, 0.323, 0.91], [0.373, 0.588, 0.91], [0.285, 0.323, 0.912], [0.127, 0.59, 0.912], [0.677, 0.0896, 0.963], [0.785, 0.873, 0.963], [0.25, 0.375, 0.125], [0.375, 0.75, 0.125], [0.375, 0.125, 0.25], [0.875, 0.625, 0.25], [0.125, 0.25, 0.375], [0.75, 0.125, 0.375], [0.875, 0.75, 0.625], [0.25, 0.875, 0.625], [0.125, 0.375, 0.75], [0.625, 0.875, 0.75], [0.625, 0.25, 0.875], [0.75, 0.625, 0.875]]","[83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45]",55228,2355342,-0.147709148333333,0.0,60,Ia-3d
Fe2Rh,"[[-1.461688093, 1.461688093, 4.520208346], [1.461688093, -1.461688093, 4.520208346], [1.461688093, 1.461688093, -4.520208346]]","[[0.327, 0.327, 0.0], [0.673, 0.673, 0.0], [0.0, 0.0, 0.0]]","[26, 26, 45]",1366373,3442770,-0.052243973333334,0.0,3,I4/mmm
BiRh,"[[4.16906194, 0.0, 0.0], [-2.08453097, 3.61051355, 0.0], [0.0, 0.0, 5.763615576]]","[[0.667, 0.333, 0.25], [0.333, 0.667, 0.75], [0.0, 0.0, 0.0], [0.0, 0.0, 0.5]]","[83, 83, 45, 45]",1244016,3474555,-0.1851152125,0.0,4,P63/mmc
Fe4Rh,"[[2.908014469, 0.0, 0.0], [1.449382868, 4.597279792, 0.0], [1.452463897, -0.00619751, 4.609182651]]","[[0.723, 0.709, 0.113], [0.93, 0.115, 0.293], [0.133, 0.502, 0.5], [0.52, 0.322, 0.907], [0.326, 0.912, 0.703]]","[26, 26, 26, 26, 45]",2131586,5579611,-0.03482267400000012,0.0,5,P1
TaNi2,"[[-3.156401, 0.0, 0.0], [0.0, -3.156401, 0.0], [1.5782, 1.5782, 3.949705]]","[[0.667, 0.667, 0.334], [0.333, 0.333, 0.666], [0.0, 0.0, 0.0]]","[28, 28, 73]",17828,8866,-0.340049106666668,0.0,3,I4/mmm
Ni3Sn,"[[3.726608, 0.0, 0.0], [0.0, 3.726608, 0.0], [0.0, 0.0, 3.726608]]","[[0.5, 0.5, 0.0], [0.5, 0.0, 0.5], [0.0, 0.5, 0.5], [0.0, 0.0, 0.0]]","[28, 28, 28, 50]",17808,11730,-0.224211121712801,0.0,4,Pm-3m
TaNi3,"[[-3.625385, 0.0, 0.0], [0.0, -3.625385, 0.0], [1.812693, 1.812693, 3.734386]]","[[0.5, 0.5, 0.0], [0.75, 0.25, 0.5], [0.25, 0.75, 0.5], [0.0, 0.0, 0.0]]","[28, 28, 28, 73]",17829,12493,-0.36595916,0.0,4,I4/mmm
Ni3Sn4,"[[0.0, 4.082215, 0.0], [1.36723, 0.0, -5.08217], [-6.137678, -2.041107, 0.007952]]","[[0.0, 0.0, 0.0], [0.216, 0.336, 0.432], [0.784, 0.664, 0.568], [0.571, 0.312, 0.143], [0.172, 0.812, 0.343], [0.828, 0.188, 0.657], [0.429, 0.688, 0.857]]","[28, 28, 28, 50, 50, 50, 50]",17812,33021,-0.288602268200687,0.0,7,C2/m
Ta2Ni,"[[0.0, 0.0, -4.861396], [-3.103827, -3.103827, 2.430698], [-3.103827, 3.103827, -2.430698]]","[[0.25, 0.0, 0.0], [0.75, 0.0, 0.0], [0.158, 0.5, 0.184], [0.342, 0.184, 0.5], [0.658, 0.816, 0.5], [0.842, 0.5, 0.816]]","[28, 28, 73, 73, 73, 73]",17827,148029,-0.232485476666668,0.0,6,I4/mcm
TaSn2,"[[0.0, -5.682911, 0.0], [4.92403, -2.841456, 0.0], [0.0, 2.841456, 9.670651]]","[[0.831, 0.337, 0.0], [0.169, 0.663, 0.0], [0.581, 0.0, 0.162], [0.169, 0.5, 0.338], [0.919, 0.163, 0.5], [0.581, 0.837, 0.5], [0.331, 0.5, 0.662], [0.419, 0.0, 0.838], [0.623, 0.5, 0.246], [0.127, 0.0, 0.254], [0.873, 0.0, 0.746], [0.877, 0.5, 0.754]]","[50, 50, 50, 50, 50, 50, 50, 50, 73, 73, 73, 73]",18122,158808,-0.0813150354008011,0.0,12,Fddd
Ni3Sn2,"[[7.134819, 0.0, 0.0], [0.0, 5.216445, 0.0], [0.0, 0.0, 8.192934]]","[[0.765, 0.505, 0.124], [0.765, 0.995, 0.124], [0.0908, 0.75, 0.127], [0.591, 0.75, 0.373], [0.265, 0.505, 0.376], [0.265, 0.995, 0.376], [0.735, 0.00465, 0.624], [0.735, 0.495, 0.624], [0.409, 0.25, 0.627], [0.909, 0.25, 0.873], [0.235, 0.00465, 0.876], [0.235, 0.495, 0.876], [0.44, 0.75, 0.0958], [0.0969, 0.25, 0.142], [0.597, 0.25, 0.358], [0.94, 0.75, 0.404], [0.0604, 0.25, 0.596], [0.403, 0.75, 0.642], [0.903, 0.75, 0.858], [0.56, 0.25, 0.904]]","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 50, 50, 50, 50, 50, 50, 50, 50]",17811,1293130,-0.313296832240481,0.0,20,Pnma
TaNi8,"[[-3.78762651, 3.78762651, 1.787090549], [3.78762651, -3.78762651, 1.787090549], [3.78762651, 3.78762651, -1.787090549]]","[[0.67, 0.33, 0.0], [0.33, 0.67, 0.0], [0.336, 0.0, 0.336], [0.0, 0.336, 0.336], [0.67, 0.67, 0.34], [0.33, 0.33, 0.66], [0.664, 0.0, 0.664], [0.0, 0.664, 0.664], [0.0, 0.0, 0.0]]","[28, 28, 28, 28, 28, 28, 28, 28, 73]",1374096,3539010,-0.169793992222222,0.0,9,I4/mmm
Ni,"[[-1.238008372, 1.238008372, 1.752230195], [1.238008372, -1.238008372, 1.752230195], [1.238008372, 1.238008372, -1.752230195]]","[[0.0, 0.0, 0.0]]",[28],1485065,3847937,-0.0011435100000003473,0.0,1,I4/mmm
NiSn4,"[[6.604228, 0.0, 0.0], [0.0, 6.345047, 0.0], [-3.0766, 0.0, 5.583159]]","[[0.00679, 0.75, 0.0034], [0.00679, 0.25, 0.503], [0.761, 0.0747, 0.0542], [0.761, 0.575, 0.207], [0.253, 0.425, 0.301], [0.253, 0.925, 0.452], [0.761, 0.925, 0.554], [0.761, 0.425, 0.707], [0.253, 0.575, 0.801], [0.253, 0.0747, 0.952]]","[28, 28, 50, 50, 50, 50, 50, 50, 50, 50]",1799586,4621276,-0.17414535748096185,0.0,10,Aba2
Ta7Sn,"[[5.306828483, 0.0, 0.0], [0.0, 5.306828483, 0.0], [0.0, 0.0, 5.306828483]]","[[0.0, 0.0, 0.0], [0.255, 0.5, 0.0], [0.745, 0.5, 0.0], [0.5, 0.0, 0.255], [0.0, 0.255, 0.5], [0.5, 0.5, 0.5], [0.0, 0.745, 0.5], [0.5, 0.0, 0.745]]","[50, 73, 73, 73, 73, 73, 73, 73]",2131723,5579580,-0.059464223356400225,0.0,8,Pm-3
Ta13Sn3,"[[5.309659005, 0.0, 0.0], [0.0, 5.328153074, 0.0], [0.0, 0.0, 10.596641589]]","[[0.5, 0.5, 0.0], [0.0, 0.0, 0.25], [0.0, 0.0, 0.75], [0.251, 0.0, 0.0], [0.749, 0.0, 0.0], [0.0, 0.5, 0.125], [0.5, 0.253, 0.255], [0.5, 0.747, 0.255], [0.0, 0.5, 0.377], [0.256, 0.0, 0.5], [0.744, 0.0, 0.5], [0.5, 0.5, 0.5], [0.0, 0.5, 0.623], [0.5, 0.253, 0.745], [0.5, 0.747, 0.745], [0.0, 0.5, 0.875]]","[50, 50, 50, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73]",2132161,5580976,-0.07041253815960147,0.0,16,Pmmm
Ni6Sn5,"[[5.504299099, -3.512081623, 0.0], [5.504299099, 3.512081623, 0.0], [-1.799819883, 0.0, 9.369036269]]","[[0.0, 0.0, 0.0], [0.8, 0.81, 0.103], [0.583, 0.616, 0.202], [0.159, 0.841, 0.25], [0.384, 0.417, 0.298], [0.19, 0.2, 0.397], [0.0, 0.0, 0.5], [0.81, 0.8, 0.603], [0.616, 0.583, 0.702], [0.841, 0.159, 0.75], [0.417, 0.384, 0.798], [0.2, 0.19, 0.897], [0.232, 0.551, 0.0331], [0.368, 0.0463, 0.147], [0.802, 0.198, 0.25], [0.954, 0.632, 0.353], [0.449, 0.768, 0.467], [0.551, 0.232, 0.533], [0.0463, 0.368, 0.647], [0.198, 0.802, 0.75], [0.632, 0.954, 0.853], [0.768, 0.449, 0.967]]","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",2135325,5591672,-0.3215354940232735,0.0,22,C2/c
TaNi9Sn2,"[[3.706325209, 0.0, 0.0], [0.0, 3.706325209, 0.0], [0.0, 0.0, 11.101664897]]","[[0.5, 0.5, 0.0], [0.5, 0.0, 0.16], [0.0, 0.5, 0.16], [0.5, 0.5, 0.33], [0.5, 0.0, 0.5], [0.0, 0.5, 0.5], [0.5, 0.5, 0.67], [0.5, 0.0, 0.84], [0.0, 0.5, 0.84], [0.0, 0.0, 0.333], [0.0, 0.0, 0.667], [0.0, 0.0, 0.0]]","[28, 28, 28, 28, 28, 28, 28, 28, 28, 50, 50, 73]",2150833,5647639,-0.2825396469751998,0.0,12,P4/mmm
Y2MnGa6,"[[0.0, 4.37521839, 4.37521839], [4.37521839, 0.0, 4.37521839], [4.37521839, 4.37521839, 0.0]]","[[0.719, 0.281, 0.281], [0.281, 0.719, 0.281], [0.719, 0.719, 0.281], [0.281, 0.281, 0.719], [0.719, 0.281, 0.719], [0.281, 0.719, 0.719], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]","[31, 31, 31, 31, 31, 31, 25, 39, 39]",1470931,3724615,-0.5199195848659007,0.0,9,Fm-3m
Y4MnGa12,"[[-4.305023, 4.305023, 4.305023], [4.305023, -4.305023, 4.305023], [4.305023, 4.305023, -4.305023]]","[[0.288, 0.288, 0.0], [0.712, 0.712, 0.0], [0.75, 0.5, 0.25], [0.5, 0.75, 0.25], [0.288, 0.0, 0.288], [0.0, 0.288, 0.288], [0.75, 0.25, 0.5], [0.25, 0.75, 0.5], [0.712, 0.0, 0.712], [0.0, 0.712, 0.712], [0.5, 0.25, 0.75], [0.25, 0.5, 0.75], [0.0, 0.0, 0.0], [0.5, 0.0, 0.0], [0.0, 0.5, 0.0], [0.0, 0.0, 0.5], [0.5, 0.5, 0.5]]","[31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 25, 39, 39, 39, 39]",1794088,4646917,-0.5319101390466535,0.0,17,Im-3m
MnGa,"[[2.715014385, 0.0, 0.0], [0.0, 2.715014385, 0.0], [0.0, 0.0, 3.650614027]]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[31, 25]",2026860,5094645,-0.13797571439655076,0.0,2,P4/mmm
MnGa4,"[[-2.79107038, 2.79107038, 2.79107038], [2.79107038, -2.79107038, 2.79107038], [2.79107038, 2.79107038, -2.79107038]]","[[0.5, 0.0, 0.0], [0.0, 0.5, 0.0], [0.0, 0.0, 0.5], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]","[31, 31, 31, 31, 25]",2024527,5116774,-0.17214527675862001,0.0,5,Im-3m
Mn28Ga,"[[4.284926483, -6.059791871, 0.0], [4.284926483, 6.059791871, 0.0], [-4.281121828, 0.0, 6.059972556]]","[[0.0, 0.0, 0.0], [0.632, 0.0, 0.0], [0.372, 0.196, 0.0], [0.196, 0.372, 0.0], [0.678, 0.39, 0.0], [0.0, 0.632, 0.0], [0.39, 0.678, 0.0], [0.804, 0.804, 0.176], [0.372, 0.0, 0.196], [0.0, 0.372, 0.196], [0.61, 0.61, 0.288], [0.712, 0.322, 0.322], [0.322, 0.712, 0.322], [0.368, 0.368, 0.368], [0.196, 0.0, 0.372], [0.0, 0.196, 0.372], [0.678, 0.0, 0.39], [0.0, 0.678, 0.39], [0.61, 0.288, 0.61], [0.288, 0.61, 0.61], [0.824, 0.628, 0.628], [0.628, 0.824, 0.628], [0.0, 0.0, 0.632], [0.39, 0.0, 0.678], [0.0, 0.39, 0.678], [0.322, 0.322, 0.712], [0.804, 0.176, 0.804], [0.176, 0.804, 0.804], [0.628, 0.628, 0.824]]","[31, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",2136593,5598897,-0.043400763489890144,0.0,29,Cm
V2Ga8Cu3,"[[-5.89932, 5.89932, -5.89932], [5.89932, 5.89932, 5.89932], [5.89932, -5.89932, -5.89932]]","[[0.75, 0.255, 0.00465], [0.75, 0.495, 0.245], [0.255, 0.505, 0.25], [0.495, 0.745, 0.25], [0.25, 0.00465, 0.255], [0.25, 0.245, 0.495], [0.755, 0.25, 0.505], [0.995, 0.25, 0.745], [0.00465, 0.755, 0.75], [0.245, 0.995, 0.75], [0.505, 0.75, 0.755], [0.745, 0.75, 0.995], [0.0, 0.227, 0.0], [0.0, 0.727, 0.0], [0.493, 0.757, 0.00333], [0.764, 0.00985, 0.00652], [0.264, 0.00652, 0.00985], [0.5, 0.0, 0.227], [0.243, 0.246, 0.236], [0.236, 0.746, 0.243], [0.743, 0.236, 0.246], [0.99, 0.997, 0.254], [0.503, 0.493, 0.257], [0.00985, 0.507, 0.264], [0.773, 0.773, 0.273], [0.997, 0.754, 0.49], [0.00333, 0.257, 0.493], [0.754, 0.99, 0.497], [0.227, 0.5, 0.5], [0.727, 0.5, 0.5], [0.257, 0.993, 0.503], [0.51, 0.264, 0.507], [0.507, 0.764, 0.51], [0.5, 0.0, 0.727], [0.746, 0.743, 0.736], [0.246, 0.736, 0.743], [0.736, 0.243, 0.746], [0.497, 0.49, 0.754], [0.993, 0.00333, 0.757], [0.00652, 0.51, 0.764], [0.273, 0.273, 0.773], [0.254, 0.497, 0.99], [0.757, 0.503, 0.993], [0.49, 0.254, 0.997], [0.0, 0.476, 0.0], [0.0, 0.976, 0.0], [0.524, 0.524, 0.0238], [0.5, 0.0, 0.476], [0.476, 0.5, 0.5], [0.976, 0.5, 0.5], [0.0238, 0.0238, 0.524], [0.5, 0.0, 0.976]]","[29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 23, 23, 23, 23, 23, 23, 23, 23]",652300,2343099,-0.199755916153846,0.0,52,I-43d
Ga4Cu9,"[[8.752111, 0.0, 0.0], [0.0, 8.752111, 0.0], [0.0, 0.0, 8.752111]]","[[0.356, 0.0, 0.0], [0.644, 0.0, 0.0], [0.0, 0.356, 0.0], [0.0, 0.644, 0.0], [0.315, 0.315, 0.0318], [0.685, 0.685, 0.0318], [0.5, 0.5, 0.143], [0.828, 0.172, 0.172], [0.172, 0.828, 0.172], [0.315, 0.0318, 0.315], [0.0318, 0.315, 0.315], [0.968, 0.685, 0.315], [0.685, 0.968, 0.315], [0.327, 0.327, 0.327], [0.673, 0.673, 0.327], [0.0, 0.0, 0.356], [0.605, 0.395, 0.395], [0.395, 0.605, 0.395], [0.5, 0.143, 0.5], [0.143, 0.5, 0.5], [0.857, 0.5, 0.5], [0.5, 0.857, 0.5], [0.395, 0.395, 0.605], [0.605, 0.605, 0.605], [0.0, 0.0, 0.644], [0.673, 0.327, 0.673], [0.327, 0.673, 0.673], [0.685, 0.0318, 0.685], [0.968, 0.315, 0.685], [0.0318, 0.685, 0.685], [0.315, 0.968, 0.685], [0.172, 0.172, 0.828], [0.828, 0.828, 0.828], [0.5, 0.5, 0.857], [0.685, 0.315, 0.968], [0.315, 0.685, 0.968], [0.121, 0.121, 0.121], [0.879, 0.879, 0.121], [0.534, 0.191, 0.191], [0.809, 0.466, 0.191], [0.191, 0.534, 0.191], [0.466, 0.809, 0.191], [0.809, 0.191, 0.466], [0.191, 0.809, 0.466], [0.191, 0.191, 0.534], [0.809, 0.809, 0.534], [0.466, 0.191, 0.809], [0.191, 0.466, 0.809], [0.809, 0.534, 0.809], [0.534, 0.809, 0.809], [0.879, 0.121, 0.879], [0.121, 0.879, 0.879]]","[29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31]",664720,2346895,-0.113258623269231,0.0,52,P-43m
Ga2Cu,"[[0.0, 2.914657016, 2.914657016], [2.914657016, 0.0, 2.914657016], [2.914657016, 2.914657016, 0.0]]","[[0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]","[29, 31, 31]",1366086,3431644,-0.0911803900000005,0.0,3,Fm-3m
GaCu7,"[[0.0, 3.656651141, 3.656651141], [3.656651141, 0.0, 3.656651141], [3.656651141, 3.656651141, 0.0]]","[[0.5, 0.0, 0.0], [0.0, 0.5, 0.0], [0.5, 0.5, 0.0], [0.0, 0.0, 0.5], [0.5, 0.0, 0.5], [0.0, 0.5, 0.5], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]","[29, 29, 29, 29, 29, 29, 29, 31]",1979295,5004888,-0.055536631874999465,0.0,8,Fm-3m
GaCu3,"[[4.236140171, 0.0, 0.0], [0.0, 5.224142298, 0.0], [0.0, 0.0, 4.540122039]]","[[0.5, 0.0, 0.167], [0.0, 0.251, 0.335], [0.0, 0.749, 0.335], [0.5, 0.249, 0.665], [0.5, 0.751, 0.665], [0.0, 0.5, 0.833], [0.5, 0.5, 0.168], [0.0, 0.0, 0.832]]","[29, 29, 29, 29, 29, 29, 31, 31]",2034574,5146096,-0.1022484187499999,0.0,8,Pmmn
GaCu124,"[[6.397567707, 3.693637438, 10.447184318], [-6.397567707, 3.693637438, 10.447184318], [0.0, -7.387274875, 10.447184318]]","[[0.202, 0.0, 0.0], [0.4, 0.0, 0.0], [0.6, 0.0, 0.0], [0.798, 0.0, 0.0], [0.4, 0.2, 0.0], [0.2, 0.2, 0.0], [0.6, 0.2, 0.0], [0.798, 0.202, 0.0], [0.0, 0.202, 0.0], [0.4, 0.4, 0.0], [0.2, 0.4, 0.0], [0.0, 0.4, 0.0], [0.6, 0.4, 0.0], [0.8, 0.4, 0.0], [0.2, 0.6, 0.0], [0.4, 0.6, 0.0], [0.0, 0.6, 0.0], [0.6, 0.6, 0.0], [0.8, 0.6, 0.0], [0.0, 0.798, 0.0], [0.202, 0.798, 0.0], [0.4, 0.8, 0.0], [0.8, 0.8, 0.0], [0.6, 0.8, 0.0], [0.6, 0.6, 0.2], [0.6, 0.4, 0.2], [0.4, 0.6, 0.2], [0.6, 0.8, 0.2], [0.8, 0.6, 0.2], [0.4, 0.8, 0.2], [0.8, 0.4, 0.2], [0.4, 0.4, 0.2], [0.4, 0.0, 0.2], [0.0, 0.4, 0.2], [0.2, 0.2, 0.2], [0.4, 0.2, 0.2], [0.2, 0.4, 0.2], [0.2, 0.0, 0.2], [0.0, 0.2, 0.2], [0.6, 0.2, 0.2], [0.2, 0.6, 0.2], [0.6, 0.0, 0.2], [0.0, 0.6, 0.2], [0.799, 0.799, 0.201], [0.799, 0.201, 0.201], [0.201, 0.799, 0.201], [0.0, 0.798, 0.202], [0.798, 0.0, 0.202], [0.0, 0.0, 0.202], [0.2, 0.2, 0.4], [0.4, 0.0, 0.4], [0.0, 0.4, 0.4], [0.2, 0.0, 0.4], [0.4, 0.2, 0.4], [0.0, 0.2, 0.4], [0.2, 0.4, 0.4], [0.8, 0.4, 0.4], [0.4, 0.8, 0.4], [0.4, 0.4, 0.4], [0.6, 0.6, 0.4], [0.6, 0.4, 0.4], [0.4, 0.6, 0.4], [0.8, 0.2, 0.4], [0.2, 0.8, 0.4], [0.8, 0.6, 0.4], [0.6, 0.8, 0.4], [0.2, 0.6, 0.4], [0.6, 0.2, 0.4], [0.0, 0.0, 0.4], [0.6, 0.0, 0.4], [0.0, 0.6, 0.4], [0.0, 0.8, 0.4], [0.8, 0.0, 0.4], [0.8, 0.8, 0.4], [0.2, 0.2, 0.6], [0.2, 0.0, 0.6], [0.0, 0.2, 0.6], [0.4, 0.0, 0.6], [0.0, 0.4, 0.6], [0.0, 0.0, 0.6], [0.8, 0.4, 0.6], [0.4, 0.8, 0.6], [0.4, 0.2, 0.6], [0.2, 0.4, 0.6], [0.2, 0.8, 0.6], [0.8, 0.2, 0.6], [0.6, 0.4, 0.6], [0.4, 0.6, 0.6], [0.4, 0.4, 0.6], [0.6, 0.6, 0.6], [0.2, 0.6, 0.6], [0.6, 0.2, 0.6], [0.8, 0.0, 0.6], [0.6, 0.0, 0.6], [0.0, 0.8, 0.6], [0.0, 0.6, 0.6], [0.8, 0.6, 0.6], [0.6, 0.8, 0.6], [0.8, 0.8, 0.6], [0.0, 0.0, 0.798], [0.202, 0.0, 0.798], [0.0, 0.202, 0.798], [0.799, 0.201, 0.799], [0.201, 0.799, 0.799], [0.201, 0.201, 0.799], [0.4, 0.0, 0.8], [0.8, 0.0, 0.8], [0.0, 0.4, 0.8], [0.8, 0.4, 0.8], [0.0, 0.8, 0.8], [0.4, 0.8, 0.8], [0.8, 0.6, 0.8], [0.6, 0.8, 0.8], [0.8, 0.8, 0.8], [0.6, 0.0, 0.8], [0.0, 0.6, 0.8], [0.6, 0.6, 0.8], [0.6, 0.2, 0.8], [0.2, 0.6, 0.8], [0.4, 0.2, 0.8], [0.2, 0.4, 0.8], [0.6, 0.4, 0.8], [0.4, 0.6, 0.8], [0.4, 0.4, 0.8], [0.0, 0.0, 0.0]]","[29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 31]",2070162,5293504,-0.0062011123600000245,0.0,125,R-3m
